id,language,task_type,prompt
1566,en,generation,"Write a new tale featuring a fledgling nation that has just won its independence only to face immediate invasion by its former ruler. Weave in themes of loyalty, national identity, and the personal cost of freedom through the eyes of a junior naval officer defending a key port and a secretive diplomat racing to secure an unexpected ally. Set the story over a tense month on storm-lashed islands, bombed-out cities, and clandestine summit rooms, and include at least two pivotal border battles and one covert rescue mission. 8,000-10,000 words"
1391,en,generation,"Imagine a story where a young woman discovers an annoying power: every time she walks through a doorway she’s whisked to a random place and can’t find her way back. She devises a system to number and map the doors as she travels through strange cities, hidden forests, and surreal landscapes in search of her lost partner. Focus on themes of identity, resilience, and what it truly means to return home, include a moment where she doubts her mission, and build to a finale where trust becomes the ultimate key. The tale should be 8,000-10,000 words long."
1077,en,generation,"Create an original story featuring a battle-hardened scavenger who becomes trapped in an abandoned underground research facility teeming with mutated, Morlock-like creatures. Focus on improvised weapons made from scrap, pulse-pounding chase scenes through narrow tunnels, and a claustrophobic atmosphere that keeps the reader on edge. Include a moral dilemma in which the hero must decide between rescuing a stranger or retrieving crucial research data that could explain the infestation’s origin. The story should be between 8,000 and 10,000 words long."
1232,en,generation,"Imagine a story where a celebrated guardian is forced to embrace forbidden magic to thwart an apocalyptic threat, only to see their own soul corrode with each victory. Focus on themes of sacrifice, fractured identity, and the uneasy line between heroism and damnation. Set this epic in a crumbling kingdom on the brink of civil war, feature a cursed heirloom that rewards power but demands moral compromise, and include at least one betrayal by a close confidant. The narrative should be 8,000-10,000 words long."
1307,en,generation,"Imagine a story where a celestial reaper, long tasked with ferrying souls between worlds, finally slays the supreme deity in a single stroke. Explore themes of free will versus duty, the cost of wielding ultimate power, and the void left when the divine voice falls silent. Set your tale across the mortal realm, a fractured heaven, and the shadowed underworld, and include a climactic moment where the reaper must choose between seizing the vacant throne or abandoning all claim to it. Aim for 8,000-10,000 words."
1952,en,generation,"Write about a dung beetle who has dedicated everything in their life towards rolling a ball of dung up a hill and now questions if it was worth it. The dung beetle's nickname is Gus, and he was just married to another dung beetle. His love for his new wife drives him to work extra hard to please her. This results in him dedicating his life to rolling a ball of dung up a huge hill, so his wife could have a spectacular view at the top. His Sisyphean struggle included having the dung roll back on him at least twice. By the time he rolled the dung to the top of the hill, it had become so cold that him and his wife had to bury the dung ball before he could see a single sunrise from the top. The story must be 8000-10000 words long."
1361,en,generation,"Imagine a story about a veteran NPC in a vast MMORPG who finally snaps and begins sabotaging every hero that comes to his quest hub. Have him rig at least three separate missions—turn a simple fetch quest into a deadly maze of traps, swap friendly beasts for ambushers, and bury key clues in cryptic riddles. Show a sharp-witted player noticing the pattern and challenging the NPC to a high-stakes showdown that tests both of their understandings of the game’s rules. Set it in a sprawling medieval-fantasy realm full of mercenaries, magical artifacts, and unpredictable glitches, and aim for 8,000-10,000 words."
1104,en,generation,"Write a new tale featuring an underestimated demon clerk who is called before Satan to invent the eighth deadly sin. Include a chaotic brainstorming session with other demons, a modern pop-culture twist on the sin’s concept, and a final reveal that surprises even the prince of darkness. Set it in Hell’s bureaucratic offices and weave in playful satire of corporate or internet culture. Aim for 8,000-10,000 words."
1642,en,generation,"Imagine a story where three rival geniuses—an AI philanthropist, a quantum physicist, and a space-tech mogul—turn a cutting-edge Arctic research station into a high-stakes prank battlefield. Set in the near future, have their escalating hijinks involve AI-powered traps, holographic illusions, and zero-gravity mishaps while they grapple with ego, trust, and the ethics of their inventions. Include at least three elaborate pranks, a midnight sabotage over a secret prototype, and a final alliance to prevent a looming environmental catastrophe. The story should run 8,000-10,000 words."
1975,en,generation,"Write a story with heavy focus on sensory details. Make the setting Schlossberg in Freiburg am Breisgau, Germany. Have two characters that are romantically involved share a moment at the top of Schlossberg on Christmas day during the sunset. Have the main character hear tons of Christmas bells from across the city, carol singers, and passing conversation. Make sure to show that it’s cold. Have the moment end with the couple leaving to go get food. Have the story be between 8,000 and 10,000 words."
848,en,generation,"Hey, could you write a story about a traveler who opts out of high-tech full-body scanners and ends up in a private screening with a TSA officer at a busy airport? Dive into the push and pull between safety and personal privacy, weaving in themes of consent, trust, and unexpected attraction. Set it in a modern terminal with hints of slightly futuristic security gear, include a scene where both characters confront their own boundaries, and build genuine emotional chemistry on top of the suspense. The finished story should be about 8,000–10,000 words."
1317,en,generation,"Imagine a story where a fresh recruit arrives at a remote forward base and begins documenting the horrors and small mercies of frontline life in a series of journal entries. Create a narrative that tracks his evolution from eager patriot to haunted veteran, focusing on themes of moral ambiguity, camaraderie under fire, and the cost of dehumanizing the enemy. Include at least three pivotal entries that mark turning points in his outlook, weave in a moment of betrayal by a trusted comrade, and end with a final reflection that leaves his future uncertain. Target a length of 8,000-10,000 words."
1280,en,generation,"Imagine a story where your gaze involuntarily broadcasts your private thoughts into anyone you look at and you have no way to switch it off. Set it during a hectic weekend in a bustling city and include at least three vivid episodes where stray thoughts spark unexpected laughter, tears, or chaos in strangers. Focus on themes of boundaries, empathy, and the strange intimacy of forced mind sharing. The story should be 8,000-10,000 words."
1996,en,generation,"Write an 8,000-10,000-word novel about a teenage heroine who grows up and ends up changing the world"
1183,en,generation,"Imagine a story about a lone insectoid warrior who suddenly rejects the telepathic hive mind controlling its kind. Set this on a distant, hostile planet where ancient ruins and bio-engineered predators lurk. Focus on themes of free will versus destiny, the burden of empathy in a ruthless environment, and the power of a single selfless act to change the course of many. The narrative should be between 8,000 and 10,000 words."
1257,en,generation,"Write a new tale featuring a curious neighbor who discovers that the stray cats in their city are building a mysterious device in an abandoned lot. Explore themes of hidden worlds and absurd humor, include at least one chapter from a cat’s own perspective, and set the story in a gritty urban landscape slowly being reclaimed by nature. The narrative should weave suspense and comedy together and run between 8,000 and 10,000 words."
